Dim_01_id,value_dim01
Dim_01_001,100202
Dim_01_002,50334
Dim_01_003,30004
Dim_01_004,340040
Dim_01_005,50223
Dim_01_006,450050
Dim_01_007,200022
Dim_01_008,223232
Dim_01_009,318726.11
Dim_01_010,349440.05
Dim_01_011,380153.99
Dim_01_012,410867.93
Dim_01_013,441581.87
Dim_01_014,472295.81
Dim_01_015,503009.75
Dim_01_016,533723.69
Dim_01_017,564437.63
Dim_01_018,595151.57
Dim_01_019,625865.51
Dim_01_020,656579.45
Dim_01_021,687293.39
Dim_01_022,718007.33
Dim_01_023,748721.27
Dim_01_024,779435.21
Dim_01_025,810149.15
Dim_01_026,840863.1
Dim_01_027,871577.04
Dim_01_028,902290.98
Dim_01_029,933004.92
Dim_01_030,963718.86
Dim_01_031,994432.8
Dim_01_032,1025146.74
Dim_01_033,1055860.68
Dim_01_034,1086574.62
Dim_01_035,1117288.56
Dim_01_036,1148002.5
Dim_01_037,1178716.44
Dim_01_038,1209430.38
Dim_01_039,1240144.32
Dim_01_040,1270858.26
Dim_01_041,1301572.2
Dim_01_042,1332286.14
Dim_01_043,1363000.08
Dim_01_044,1393714.02
Dim_01_045,1424427.96
Dim_01_046,1455141.9
Dim_01_047,1485855.85
Dim_01_048,1516569.79
Dim_01_049,1547283.73
Dim_01_050,1577997.67
Dim_01_051,1608711.61
Dim_01_052,1639425.55
Dim_01_053,1670139.49
Dim_01_054,1700853.43
Dim_01_055,1731567.37
Dim_01_056,1762281.31
Dim_01_057,1792995.25
Dim_01_058,1823709.19
Dim_01_059,1854423.13
Dim_01_060,1885137.07
Dim_01_061,1915851.01
Dim_01_062,1946564.95
Dim_01_063,1977278.89
Dim_01_064,2007992.83
Dim_01_065,2038706.77
Dim_01_066,2069420.71
Dim_01_067,2100134.65
Dim_01_068,2130848.6
Dim_01_069,2161562.54
Dim_01_070,2192276.48
Dim_01_071,2222990.42
Dim_01_072,2253704.36
Dim_01_073,2284418.3
Dim_01_074,2315132.24
Dim_01_075,2345846.18
Dim_01_076,2376560.12
Dim_01_077,2407274.06
Dim_01_078,2437988
Dim_01_079,2468701.94
Dim_01_080,2499415.88
Dim_01_081,2530129.82
Dim_01_082,2560843.76
Dim_01_083,2591557.7
Dim_01_084,2622271.64
Dim_01_085,2652985.58
Dim_01_086,2683699.52
Dim_01_087,2714413.46
Dim_01_088,2745127.4
Dim_01_089,2775841.35
Dim_01_090,2806555.29
Dim_01_091,2837269.23
Dim_01_092,2867983.17
Dim_01_093,2898697.11
Dim_01_094,2929411.05
Dim_01_095,2960124.99
Dim_01_096,2990838.93
Dim_01_097,3021552.87
Dim_01_098,3052266.81
Dim_01_099,3082980.75
Dim_01_100,3113694.69
Dim_01_101,3144408.63
Dim_01_102,3175122.57
Dim_01_103,3205836.51
Dim_01_104,3236550.45
Dim_01_105,3267264.39
Dim_01_106,3297978.33
Dim_01_107,3328692.27
Dim_01_108,3359406.21
Dim_01_109,3390120.15
Dim_01_110,3420834.1
Dim_01_111,3451548.04
Dim_01_112,3482261.98
Dim_01_113,3512975.92
Dim_01_114,3543689.86
Dim_01_115,3574403.8
Dim_01_116,3605117.74
Dim_01_117,3635831.68
Dim_01_118,3666545.62
Dim_01_119,3697259.56
